movie_id,genre_id,genre_name
950387,10751,Family
950387,14,Fantasy
950387,35,Comedy
950387,12,Adventure
1249508,27,Horror
1249508,53,Thriller
1249508,18,Drama
1197306,28,Action
1197306,80,Crime
1197306,53,Thriller
950396,10749,Romance
950396,878,Science Fiction
950396,53,Thriller
1223601,28,Action
1223601,10752,War
639988,35,Comedy
639988,80,Crime
639988,53,Thriller
4232,80,Crime
4232,27,Horror
4232,9648,Mystery
671,12,Adventure
671,14,Fantasy
1317672,10749,Romance
1317672,18,Drama
13,35,Comedy
13,18,Drama
13,10749,Romance
1600672,16,Animation
1600672,878,Science Fiction
1600672,35,Comedy
1087192,14,Fantasy
1087192,10751,Family
1087192,28,Action
1087192,12,Adventure
315635,28,Action
315635,12,Adventure
315635,878,Science Fiction
893694,18,Drama
893694,10749,Romance
1175942,10751,Family
1175942,35,Comedy
1175942,80,Crime
1175942,12,Adventure
1175942,16,Animation
553510,18,Drama
1406657,16,Animation
1406657,28,Action
1406657,18,Drama
1406657,878,Science Fiction
519182,10751,Family
519182,35,Comedy
519182,16,Animation
519182,878,Science Fiction
519182,28,Action
328595,878,Science Fiction
1095885,53,Thriller
1095885,878,Science Fiction
571756,35,Comedy
571756,80,Crime
550,18,Drama
550,53,Thriller
980477,16,Animation
980477,14,Fantasy
980477,12,Adventure
980477,28,Action
1499826,10751,Family
475557,80,Crime
475557,53,Thriller
475557,18,Drama
181808,12,Adventure
181808,28,Action
181808,878,Science Fiction
14052,35,Comedy
34563,35,Comedy
45757,18,Drama
45757,10751,Family
324857,16,Animation
324857,28,Action
324857,12,Adventure
324857,878,Science Fiction
161579,35,Comedy
161579,16,Animation
552524,10751,Family
552524,878,Science Fiction
552524,35,Comedy
646385,27,Horror
646385,9648,Mystery
507244,28,Action
507244,878,Science Fiction
507244,35,Comedy
1258151,878,Science Fiction
1258151,12,Adventure
1258151,18,Drama
1517988,35,Comedy
1517988,10749,Romance
227156,18,Drama
227156,878,Science Fiction
10110,18,Drama
10110,36,History
10110,10752,War
10184,35,Comedy
10184,10749,Romance
10184,18,Drama
372058,16,Animation
372058,10749,Romance
372058,18,Drama
1310568,9648,Mystery
1310568,53,Thriller
