adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,genre_ids
False,/nTbO6UF944b0VZrgypMK5rFYRSW.jpg,,,,,680493,,,en,Return to Silent Hill,"When James receives a mysterious letter from his lost love Mary, he is drawn to Silent Hill—a once-familiar town now consumed by darkness. As he searches for her, James faces monstrous creatures and unravels a terrifying truth that will push him to the edge of his sanity.",103.7708,/fqAGFN2K2kDL0EHxvJaXzaMUkkt.jpg,,,2026-01-21,,,,,,Return to Silent Hill,False,5.029,273,"[9648, 18, 27]"
False,/drRxbu2OHG0DEENptZ8wI5f0uEU.jpg,,,,,1119449,,,en,"Good Luck, Have Fun, Don't Die",A 'Man from the Future' arrives at an LA diner where he must recruit the precise combination of disgruntled patrons to join him on a one-night quest to save the world from the terminal threat of a rogue artificial intelligence.,78.6582,/rWcfOdY7TU6lTdazWj0ebDZnAfO.jpg,,,2026-02-13,,,,,,"Good Luck, Have Fun, Don't Die",False,6.9,182,"[878, 28, 35]"
False,/m4SSOlqJfiQmYCWmG4YpkpW20Zs.jpg,,,,,384530,,,en,Cipher Bureau,The younger brother of an officer in a secret government code-breaking unit gets involved with a gang of spies and a beautiful double agent.,84.4767,/yx3SUGNca6FxRMSEfbDnVJ8Cz5V.jpg,,,1938-10-25,,,,,,Cipher Bureau,False,4.4,5,[18]
False,/zfbjgQE1uSd9wiPTX4VzsLi0rGG.jpg,,,,,278,,,en,The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",56.3199,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,,,1994-09-23,,,,,,The Shawshank Redemption,False,8.7,29936,"[18, 80]"
False,/gaKFXcB5J1gz0QqYj8bWIfrPc04.jpg,,,,,1242898,,,en,Predator: Badlands,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",81.6838,/erTRAi241eYF4K8KoGGOI8kFPox.jpg,,,2025-11-05,,,,,,Predator: Badlands,False,7.705,2416,"[28, 878, 12]"
False,/gmu4liRCTk5nKSiGL6XHFbsJvD8.jpg,,,,,1451398,,,ja,カラダ探し THE LAST NIGHT,"Three years after completing a deadly game, high schoolers trapped in a looping nightmare must survive brutal encounters and unravel a terrifying curse.",71.117,/9njMmEXfPHVKWdAZg80F4yxlEnZ.jpg,,,2025-09-05,,,,,,Re/Member: The Last Night,False,4.667,9,[27]
False,/tn95fumbkVAgXjOuw9CQOg0aYQz.jpg,,,,,1419406,,,zh,The Shadow's Edge,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,88.7242,/e0RU6KpdnrqFxDKlI3NOqN8nHL6.jpg,,,2025-08-16,,,,,,The Shadow's Edge,False,7.215,500,"[28, 80, 18, 53]"
False,/jenQoCLJ4FEfFGZS13op91jlxjy.jpg,,,,,969681,,,en,Spider-Man: Brand New Day,"Four years have passed since the events of No Way Home, and Peter is now an adult living entirely alone, having voluntarily erased himself from the lives and memories of those he loves. Crime-fighting in a New York that no longer knows his name, he's devoted himself entirely to protecting his city — a full-time Spider-Man — but as the demands on him intensify, the pressure sparks a surprising physical evolution that threatens his existence, even as a strange new pattern of crimes gives rise to one of the most powerful threats he has ever faced.",68.8189,/ucQ0QBXXQPSxeUmWfh4YQenIuB9.jpg,,,2026-07-29,,,,,,Spider-Man: Brand New Day,False,0.0,0,"[878, 28, 12]"
False,/swxhEJsAWms6X1fDZ4HdbvYBSf9.jpg,,,,,1234731,,,en,Anaconda,"A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natural disasters, giant snakes and violent criminals.",68.2525,/hBxN6dwrANN1ic3a4G9x6JZcR3C.jpg,,,2025-12-24,,,,,,Anaconda,False,5.849,799,"[12, 35, 27]"
False,/eJ0HooOOD1uzI39CfOQNWIiWKlJ.jpg,,,,,1387382,,,en,Hunting Season,"When a reclusive survivalist and his daughter rescue a mysterious, wounded woman from a river, they become entangled in a deadly web of violence and revenge, forcing them to confront a brutal criminal to survive.",66.9655,/cbryTyaWdqrKpQCw6K7zm2jrB5v.jpg,,,2025-12-05,,,,,,Hunting Season,False,6.997,154,"[28, 18, 53]"
False,/3iMoYSbI72Nwsvi7uSpqReLJVa6.jpg,,,,,1317288,,,en,Marty Supreme,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.",63.7533,/lYWEXbQgRTR4ZQleSXAgRbxAjvq.jpg,,,2025-12-19,,,,,,Marty Supreme,False,7.469,1346,"[18, 53]"
False,/73BClq9FOcrWrutnpiqhCNEWEwJ.jpg,,,,,858024,,,en,Hamnet,"The powerful story of love and loss that inspired the creation of Shakespeare's timeless masterpiece, Hamlet.",58.76,/vbeyOZm2bvBXcbgPD3v6o94epPX.jpg,,,2025-11-26,,,,,,Hamnet,False,7.7,1041,"[18, 10749, 36]"
False,/qMV1paVi1WiHkmKH5uzIBDDh4Gf.jpg,,,,,1362514,,,en,House on Eden,"Paranormal investigators Kris, Celina and their videographer Jay are rerouted to an abandoned house deep in the woods, where they find themselves facing a force unlike anything they've encountered before. As the night spirals into chaos, missing crew members and eerie phenomena hint at an ancient, malevolent presence watching their every move.",62.1199,/2xVyCvnuVVRpYohPxrvwxZiH49r.jpg,,,2025-07-25,,,,,,House on Eden,False,4.697,38,[27]
False,/y1Vj3R6puWZebFH8OQirt6hMtwj.jpg,,,,,1217584,,,es,Torrente Presidente,"Years have passed since his last adventure, but José Luis Torrente, the most politically incorrect former cop in Spain, still sees himself as a national hero.",58.5794,/yrDKwAdZRJjoQ9RZwzRGPpMC7U1.jpg,,,2026-03-13,,,,,,Torrente for President,False,6.5,11,[35]
False,/3F2EXWF1thX0BdrVaKvnm6mAhqh.jpg,,,,,1306368,,,en,The Rip,"Trust frays when a team of Miami cops discovers millions in cash inside a run-down stash house, calling everyone — and everything — into question.",61.8228,/eZo31Dhl5BQ6GfbMNf3oU0tUvPZ.jpg,,,2026-01-13,,,,,,The Rip,False,7.071,1387,"[28, 53, 80]"
False,/eUERZRVjCTNdgnESlQxyaOJ2d4K.jpg,,,,,1584215,,,en,The Internship,"A CIA-trained assassin recruits other graduates from her secret childhood program, The Internship, to violently destroy the organization. The CIA fights back with deadly force.",59.8785,/fYqSOkix4rbDiZW0ACNnvZCpT6X.jpg,,,2026-01-13,,,,,,The Internship,False,6.11,59,[28]
False,/5poP982Y3huFTkjJsJAq6MBQs5k.jpg,,,,,1170608,,,en,Dune: Part Three,"As Emperor, Paul Atreides grapples with the consequences of his rise to power as political conspiracies and a galaxy-spanning holy war threaten the future he alone can foresee.",59.699,/b4wekkUaxExzOeGe7hKXzhnyXHt.jpg,,,2026-12-16,,,,,,Dune: Part Three,False,0.0,0,"[878, 12, 53]"
False,/oN4TQ1TxchynXlFiXFBL3NHLT54.jpg,,,,,1167307,,,en,David,"From the songs of his mother’s heart to the whispers of a faithful God, David’s story begins in quiet devotion. When the giant Goliath rises to terrorize a nation, a young shepherd armed with only a sling, a few stones, and unshakable faith steps forward. Pursued by power and driven by purpose, his journey tests the limits of loyalty, love, and courage—culminating in a battle not just for a crown, but for the soul of a kingdom.",63.851,/7lFG1WrCwAxBfyGK8ahlBVzXno7.jpg,,,2025-12-14,,,,,,David,False,8.032,108,"[16, 10751, 18]"
